20.4	203.3
88.9	232.3
72.4	211
97.3	207.6
86.1	188.1
53.4	172.8
25.9	151.6
60.2	143.11
36.9	128.6
64.3	117.6
80.8	131.1
117.8	109.9
119.1	124.4
117.8	147.3
124.7	173.6
143.8	116.8
134.1	135.4
134.2	137.9
149.3	160.1
161.6	172
149.3	193.2
164.3	204.3
166.9	105.6
172.7	107.4
180.8	96.3
184.9	104
205.5	112.5
209.5	132.1
209.6	135.4
191.8	139.6
189	146.6
168.4	136.3
165.8	139.6
234.4	155.8
216.4	162.2
215.1	164.3
194.5	187.3
207	219.5
227.5	201.7
255	228.8
270	194.8
249.4	174.5
267.2	160.9
256.2	136.3
267.2	124.4
243.8	104.8
249.4	89.6
226.1	85.3
227.5	88.6
246.6	12.2
249.4	41.1
249.41	48.8
259.1	56.4
271.3	68.4
323.5	5.4
305.5	28.4
283.7	43.7
307.1	65.8
286.5	86.1
324.8	87.9
302.9	106.6
322	125.3
294.6	138
334.4	160.9
332.9	165.1
316.7	177.1
307	228.1
332.9	215.3
339.8	219.5
376.9	92.9
386.5	114.1
360.4	119.3
355	154.1
355.1	158.3
367.2	189.8
367.2	193.2
360.4	210.2
389.3	215.3
387.8	218.7
389.3	233.1
363.2	247.5
438.6	108.3
440.1	111.6
418	121.1
386.5	144.8
394.6	161.8
393.4	172.8
407.1	196.6
504.3	116.8
472.8	126.9
459.1	130.3
438.6	139.6
420.8	149.8
419.5	174.5
455.1	186.3
490.6	199.1
467.5	228.8
505.8	226.3
474.3	256.9
433.2	155.8
503.1	147.3
464.7	155.8
492.1	174.5
529.2	179.6
557.9	209.3
